页码,标题,价格,区域,房子面积,朝向,房屋类型,楼层,链接,爬取时间
1,整租·绿地东岸涟城 1室1厅 南/北,2200 元/月,浦东-临港新城-绿地东岸涟城,52.00㎡,南 北,1室1厅1卫,中楼层                        （11层）,https://sh.lianjia.com/zufang/SH2022662249067315200.html,2025-11-17 19:48:15
1,整租·陆家嘴滴水涟岸一期 3室2厅 南,5500 元/月,浦东-临港新城-陆家嘴滴水涟岸一期,126.06㎡,南,3室2厅2卫,中楼层                        （14层）,https://sh.lianjia.com/zufang/SH2008481364684308480.html,2025-11-17 19:48:15
1,整租·万科金域澜湾 2室2厅 南,3000 元/月,浦东-临港新城-万科金域澜湾,75.00㎡,南,2室2厅1卫,高楼层                        （8层）,https://sh.lianjia.com/zufang/SH2027344502355656704.html,2025-11-17 19:48:15
1,独栋·上海滴水湖斯贤公寓 北苑 【年底特惠】【103核心区域】【超值回馈客户】仅限长租 豪华三房 拎包入住！ 3室2厅,5500 元/月,无区域信息,110.00-125.00㎡,无朝向,3室2厅2卫,无楼层,https://sh.lianjia.com/apartment/52599.html,2025-11-17 19:48:15
1,整租·滴水湖馨苑创馨派 1室1厅 南,2100 元/月,浦东-临港新城-滴水湖馨苑创馨派,42.00㎡,南,1室1厅1卫,高楼层                        （6层）,https://sh.lianjia.com/zufang/SH2029099033355616256.html,2025-11-17 19:48:15
1,独栋·上海滴水湖斯贤公寓 南苑 【特价促销上新】【103科创核心区域】【紧邻港城广场】3房2厅2卫  酒店式服务 民水电  环境好 3室2厅,5000-7500 元/月,无区域信息,110.00㎡,无朝向,3室2厅2卫,无楼层,https://sh.lianjia.com/apartment/66978.html,2025-11-17 19:48:15
1,整租·绿地东岸涟城 2室2厅 南/北,2310 元/月,浦东-临港新城-绿地东岸涟城,74.15㎡,南 北,2室2厅1卫,低楼层                        （11层）,https://sh.lianjia.com/zufang/SH2037562824267399168.html,2025-11-17 19:48:15
1,整租·星瀚璟庭 4室2厅 南,4500 元/月,浦东-临港新城-星瀚璟庭,140.00㎡,南,4室2厅2卫,高楼层                        （18层）,https://sh.lianjia.com/zufang/SH2013129006219526144.html,2025-11-17 19:48:15
1,整租·宜浩佳园南区 3室2厅 南/北,3150 元/月,浦东-临港新城-宜浩佳园南区,118.45㎡,南 北,3室2厅2卫,低楼层                        （4层）,https://sh.lianjia.com/zufang/SH2038293763830317056.html,2025-11-17 19:48:15
1,独栋·上海滴水湖斯贤公寓 北苑 【南苑-年底大促销】【可办居住证】【折扣多多 】酒店式服务公寓 拎包入住 民用水电 可开专票 3室2厅,5000 元/月,无区域信息,110.00㎡,无朝向,3室2厅2卫,无楼层,https://sh.lianjia.com/apartment/52599.html,2025-11-17 19:48:15
1,整租·万科金域澜湾 3室2厅 南,3600 元/月,浦东-临港新城-万科金域澜湾,89.00㎡,南,3室2厅2卫,低楼层                        （8层）,https://sh.lianjia.com/zufang/SH1984641736860762112.html,2025-11-17 19:48:15
1,独栋·摩居公寓 临港店 公寓直租，0中介费。摩居大床房 开间,1800 元/月,无区域信息,32.00㎡,无朝向,1室0厅1卫,无楼层,https://sh.lianjia.com/apartment/87399.html,2025-11-17 19:48:15
1,整租·滴水湖馨苑创馨派 2室1厅 南/北,2310 元/月,浦东-临港新城-滴水湖馨苑创馨派,82.00㎡,南 北,2室1厅1卫,中楼层                        （6层）,https://sh.lianjia.com/zufang/SH1989679272909864960.html,2025-11-17 19:48:15
1,独栋·摩居公寓 临港店 公寓直租，0中介费。摩居双人间 开间,1800 元/月,无区域信息,30.00㎡,无朝向,1室0厅1卫,无楼层,https://sh.lianjia.com/apartment/87399.html,2025-11-17 19:48:15
1,整租·滴水湖馨苑一期 2室2厅 南,2415 元/月,浦东-临港新城-滴水湖馨苑一期,78.86㎡,南,2室2厅1卫,高楼层                        （5层）,https://sh.lianjia.com/zufang/SH2008798153582575616.html,2025-11-17 19:48:15
1,独栋·中建·幸孚+公寓 临港店-6单元 E户型，单间独卫，朝南，家具家电齐全，可拎包入住 开间,1718 元/月,无区域信息,34.50㎡,无朝向,1室0厅1卫,无楼层,https://sh.lianjia.com/apartment/90694.html,2025-11-17 19:48:15
1,整租·上实望海 3室2厅 南,2835 元/月,浦东-临港新城-上实望海,99.55㎡,南,3室2厅2卫,高楼层                        （16层）,https://sh.lianjia.com/zufang/SH2007103017534357504.html,2025-11-17 19:48:15
1,整租·滴水湖馨苑二期 2室2厅 南,2200 元/月,浦东-临港新城-滴水湖馨苑二期,85.56㎡,南,2室2厅1卫,低楼层                        （5层）,https://sh.lianjia.com/zufang/SH2016860545965096960.html,2025-11-17 19:48:15
1,独栋·中建·幸孚+公寓 临港店-5单元 公寓·独立卫浴·拎包入住·朝北 开间,1336 元/月,无区域信息,27.60㎡,无朝向,1室0厅1卫,无楼层,https://sh.lianjia.com/apartment/90791.html,2025-11-17 19:48:15
1,整租·万达钻石湾 3室2厅 南,2919 元/月,浦东-临港新城-万达钻石湾,87.00㎡,南,3室2厅1卫,高楼层                        （17层）,https://sh.lianjia.com/zufang/SH2015243566971879424.html,2025-11-17 19:48:15
1,整租·宝龙世家 3室1厅 南/北,2500 元/月,浦东-临港新城-宝龙世家,83.08㎡,南 北,3室1厅1卫,低楼层                        （13层）,https://sh.lianjia.com/zufang/SH2035349686042230784.html,2025-11-17 19:48:15
1,独栋·中建·幸孚+公寓 临港店-6单元 C户型 精装修 单间独卫 27.6平米 可办居住证 开间,1302 元/月,无区域信息,27.60㎡,无朝向,1室0厅1卫,无楼层,https://sh.lianjia.com/apartment/90694.html,2025-11-17 19:48:15
1,整租·上实望海 3室2厅 南,3255 元/月,浦东-临港新城-上实望海,100.00㎡,南,3室2厅2卫,高楼层                        （16层）,https://sh.lianjia.com/zufang/SH2014954385452302336.html,2025-11-17 19:48:15
1,独栋·城际服务公寓酒店 上海临港城际服务公寓 近耀雪世界 可开票幽静服务公寓城际豪华套房公寓 1室1厅,8700-10000 元/月,无区域信息,58.00㎡,无朝向,1室1厅1卫,无楼层,https://sh.lianjia.com/apartment/100060.html,2025-11-17 19:48:15
1,整租·清风丽苑 2室1厅 东南/南,1995 元/月,浦东-泥城镇-清风丽苑,81.00㎡,东南 南,2室1厅1卫,中楼层                        （11层）,https://sh.lianjia.com/zufang/SH2050214432230866944.html,2025-11-17 19:48:15
1,独栋·城际服务公寓酒店 上海临港城际服务公寓 近滴水湖服务公寓 设施齐全 租期灵活带健身房城际豪华单房公寓 1室1厅,5700-6800 元/月,无区域信息,36.00㎡,无朝向,1室1厅1卫,无楼层,https://sh.lianjia.com/apartment/100060.html,2025-11-17 19:48:15
1,整租·临港十七区 1室1厅 北,1100 元/月,浦东-临港新城-临港十七区,39.05㎡,北,1室1厅1卫,中楼层                        （15层）,https://sh.lianjia.com/zufang/SH2036056305570938880.html,2025-11-17 19:48:15
1,整租·万科金域澜湾 2室1厅 南/北,2400 元/月,浦东-临港新城-万科金域澜湾,75.38㎡,南 北,2室1厅1卫,中楼层                        （8层）,https://sh.lianjia.com/zufang/SH2040711209187016704.html,2025-11-17 19:48:15
1,整租·滴水湖馨苑二期 2室2厅 南,2000 元/月,浦东-临港新城-滴水湖馨苑二期,116.00㎡,南,2室2厅1卫,高楼层                        （5层）,https://sh.lianjia.com/zufang/SH2041494881037189120.html,2025-11-17 19:48:15
1,整租·港城悦庭 3室2厅 南,4000 元/月,浦东-临港新城-港城悦庭,92.04㎡,南,3室2厅2卫,高楼层                        （17层）,https://sh.lianjia.com/zufang/SH2038169850961985536.html,2025-11-17 19:48:15
2,整租·雅戈尔 3室2厅 南/北,2900 元/月,浦东-临港新城-雅戈尔,100.00㎡,南 北,3室2厅2卫,中楼层                        （16层）,https://sh.lianjia.com/zufang/SH2054176151487643648.html,2025-11-17 19:48:18
2,整租·金融湾晶琇 3室2厅 东/南,6000 元/月,浦东-临港新城-金融湾晶琇,122.40㎡,东 南,3室2厅2卫,低楼层                        （11层）,https://sh.lianjia.com/zufang/SH2042964096898301952.html,2025-11-17 19:48:18
2,整租·绿地临港家园（海洋小区） 2室2厅 南/北,2580 元/月,浦东-临港新城-绿地临港家园（海洋小区）,96.98㎡,南 北,2室2厅1卫,低楼层                        （4层）,https://sh.lianjia.com/zufang/SH2056741224286519296.html,2025-11-17 19:48:18
2,独栋·新怡豪庭酒店及服务式公寓 上海滴水湖店 新怡豪庭服务式公寓【离地铁200米】一房/民用水电/0中介 1室1厅,6999 元/月,无区域信息,81.94㎡,无朝向,1室1厅1卫,无楼层,https://sh.lianjia.com/apartment/98998.html,2025-11-17 19:48:18
2,整租·临港新世界休闲广场 2室1厅 南/北,2200 元/月,浦东-临港新城-临港新世界休闲广场,60.47㎡,南 北,2室1厅1卫,高楼层                        （7层）,https://sh.lianjia.com/zufang/SH2057034355217268736.html,2025-11-17 19:48:18
2,独栋·新怡豪庭酒店及服务式公寓 上海滴水湖店 新怡豪庭服务式公寓【离地铁200米】两房/民用水电/0中介 2室1厅,9999 元/月,无区域信息,133.45㎡,无朝向,2室1厅2卫,无楼层,https://sh.lianjia.com/apartment/98998.html,2025-11-17 19:48:18
2,整租·海滨时代大厦 2室1厅 南,2100 元/月,浦东-临港新城-海滨时代大厦,50.63㎡,南,2室1厅1卫,中楼层                        （10层）,https://sh.lianjia.com/zufang/SH2062071987961856000.html,2025-11-17 19:48:18
2,整租·陆家嘴滴水涟岸一期 3室2厅 北,5800 元/月,浦东-临港新城-陆家嘴滴水涟岸一期,126.53㎡,北,3室2厅2卫,高楼层                        （14层）,https://sh.lianjia.com/zufang/SH2044270643712622592.html,2025-11-17 19:48:18
2,整租·绿地东岸涟城 1室1厅 南/北,2153 元/月,浦东-临港新城-绿地东岸涟城,52.08㎡,南 北,1室1厅1卫,高楼层                        （11层）,https://sh.lianjia.com/zufang/SH2063245859704799232.html,2025-11-17 19:48:18
2,独栋·中建·幸孚+公寓 临港店-5单元 停车免费·带阳台独立卫浴·拎包入住 开间,1855 元/月,无区域信息,38.10㎡,无朝向,1室0厅1卫,无楼层,https://sh.lianjia.com/apartment/90791.html,2025-11-17 19:48:18
2,整租·港城悦庭 3室2厅 南/北,3570 元/月,浦东-临港新城-港城悦庭,92.00㎡,南 北,3室2厅2卫,中楼层                        （17层）,https://sh.lianjia.com/zufang/SH2049487693758332928.html,2025-11-17 19:48:18
2,独栋·中建·幸孚+公寓 临港店-5单元 可办居住证·超大阳台房·独立卫浴·家电齐全 开间,1879 元/月,无区域信息,38.60㎡,无朝向,1室0厅1卫,无楼层,https://sh.lianjia.com/apartment/90791.html,2025-11-17 19:48:18
2,整租·宜浩佳园南区 3室2厅 南,2888 元/月,浦东-临港新城-宜浩佳园南区,109.44㎡,南,3室2厅2卫,高楼层                        （4层）,https://sh.lianjia.com/zufang/SH2062865719430742016.html,2025-11-17 19:48:18
2,独栋·中建·幸孚+公寓 临港店-6单元 A户型，朝南单间独卫，带阳台，可做饭，有健身房 开间,1914 元/月,无区域信息,38.10㎡,无朝向,1室0厅1卫,无楼层,https://sh.lianjia.com/apartment/90694.html,2025-11-17 19:48:18
2,整租·临港新世界休闲广场 1室0厅 南,1700 元/月,浦东-临港新城-临港新世界休闲广场,32.70㎡,南,1室0厅1卫,低楼层                        （9层）,https://sh.lianjia.com/zufang/SH2067150939847917568.html,2025-11-17 19:48:18
2,独栋·城际服务公寓酒店 上海临港城际服务公寓 近海昌&天文馆有健身房限时折扣城际单房公寓 开间,5400 元/月,无区域信息,26.00㎡,无朝向,1室0厅1卫,无楼层,https://sh.lianjia.com/apartment/100060.html,2025-11-17 19:48:18
2,整租·保利玲珑公馆 3室2厅 南/北,3045 元/月,浦东-临港新城-保利玲珑公馆,91.07㎡,南 北,3室2厅2卫,低楼层                        （14层）,https://sh.lianjia.com/zufang/SH2067235537332207616.html,2025-11-17 19:48:18
2,整租·嘉和美苑 3室2厅 南/北,4000 元/月,浦东-临港新城-嘉和美苑,114.53㎡,南 北,3室2厅1卫,高楼层                        （8层）,https://sh.lianjia.com/zufang/SH2044032663991353344.html,2025-11-17 19:48:18
2,独栋·上海滴水湖斯贤公寓 北苑 【仅限长租12个月 】【超值促销】【超低价格】 手慢无 豪华装修，有史以来最低价！！ 2室1厅,4000-4500 元/月,无区域信息,83.00㎡,无朝向,2室1厅1卫,无楼层,https://sh.lianjia.com/apartment/52599.html,2025-11-17 19:48:18
2,整租·磐达华庭 2室2厅 南/北,2900 元/月,浦东-临港新城-磐达华庭,114.26㎡,南 北,2室2厅1卫,中楼层                        （6层）,https://sh.lianjia.com/zufang/SH2067892928079986688.html,2025-11-17 19:48:18
2,整租·新芦苑 1室2厅 南,1900 元/月,浦东-临港新城-新芦苑,62.00㎡,南,1室2厅1卫,中楼层                        （4层）,https://sh.lianjia.com/zufang/SH2053352899173416960.html,2025-11-17 19:48:18
2,独栋·上海滴水湖斯贤公寓 南苑 【年底大促销】【紧邻港城广场】【103核心区域 】精装修2房2厅  拎包入住 民水电燃气 2室1厅,3500 元/月,无区域信息,85.00-90.00㎡,无朝向,2室1厅1卫,无楼层,https://sh.lianjia.com/apartment/66978.html,2025-11-17 19:48:18
2,整租·宜浩佳园北区 2室2厅 南,2500 元/月,浦东-临港新城-宜浩佳园北区,82.48㎡,南,2室2厅1卫,低楼层                        （4层）,https://sh.lianjia.com/zufang/SH2068836581225005056.html,2025-11-17 19:48:18
2,独栋·上海滴水湖斯贤公寓 北苑 【年底特价促销】【企业客户专享福利】 【可办居住证 】共计14套房源！随时可看 精装修 拎包入住 2室1厅,4000-5500 元/月,无区域信息,82.00㎡,无朝向,2室1厅1卫,无楼层,https://sh.lianjia.com/apartment/52599.html,2025-11-17 19:48:18
2,整租·宜浩佳园北区 2室2厅 南/北,2400 元/月,浦东-临港新城-宜浩佳园北区,83.03㎡,南 北,2室2厅1卫,高楼层                        （4层）,https://sh.lianjia.com/zufang/SH2070903452803792896.html,2025-11-17 19:48:18
2,独栋·上海滴水湖斯贤公寓 北苑 【南苑-年底大促销】【企业专享】【可办居住证 】拎包入住 可短租通燃气 民用水电 免费停车 2室1厅,4000-5500 元/月,无区域信息,90.00㎡,无朝向,2室1厅1卫,无楼层,https://sh.lianjia.com/apartment/52599.html,2025-11-17 19:48:18
2,整租·海上风华 3室1厅 南,3200 元/月,浦东-临港新城-海上风华,90.89㎡,南,3室1厅3卫,中楼层                        （5层）,https://sh.lianjia.com/zufang/SH2056673558968401920.html,2025-11-17 19:48:18
2,整租·海滨时代大厦 3室2厅 南/北,5600 元/月,浦东-临港新城-海滨时代大厦,106.00㎡,南 北,3室2厅2卫,高楼层                        （10层）,https://sh.lianjia.com/zufang/SH2064640978169364480.html,2025-11-17 19:48:18
2,整租·海滨时代大厦 2室1厅 南/北,2800 元/月,浦东-临港新城-海滨时代大厦,51.42㎡,南 北,2室1厅2卫,高楼层                        （10层）,https://sh.lianjia.com/zufang/SH2064642009418694656.html,2025-11-17 19:48:18
2,整租·大名城映玥 3室2厅 南/北,3200 元/月,浦东-临港新城-大名城映玥,96.35㎡,南 北,3室2厅2卫,低楼层                        （8层）,https://sh.lianjia.com/zufang/SH1908038619675754496.html,2025-11-17 19:48:18
3,整租·港城悦庭 3室1厅 南,4500 元/月,浦东-临港新城-港城悦庭,116.42㎡,南,3室1厅2卫,中楼层                        （16层）,https://sh.lianjia.com/zufang/SH2081762392005410816.html,2025-11-17 19:48:22
3,整租·陆家嘴滴水涟岸一期 3室2厅 北,5800 元/月,浦东-临港新城-陆家嘴滴水涟岸一期,126.53㎡,北,3室2厅2卫,高楼层                        （14层）,https://sh.lianjia.com/zufang/SH2044270643712622592.html,2025-11-17 19:48:22
3,整租·玲珑悦庭 1室1厅 南,2660 元/月,浦东-临港新城-玲珑悦庭,59.56㎡,南,1室1厅1卫,中楼层                        （7层）,https://sh.lianjia.com/zufang/SH2082143269558419456.html,2025-11-17 19:48:22
3,独栋·上海滴水湖斯贤公寓 南苑 【103核心区域】【 企业专享折扣】【可短租月付】限时折扣  品质装修 酒店式服务 1室1厅,4500 元/月,无区域信息,72.00㎡,无朝向,1室1厅1卫,无楼层,https://sh.lianjia.com/apartment/66978.html,2025-11-17 19:48:22
3,整租·绿地东岸涟城 2室2厅 南/北,2600 元/月,浦东-临港新城-绿地东岸涟城,88.23㎡,南 北,2室2厅1卫,中楼层                        （5层）,https://sh.lianjia.com/zufang/SH2082683928107286528.html,2025-11-17 19:48:22
3,独栋·上海滴水湖斯贤公寓 北苑 【南苑-年底特惠促销】【超低价格】【103科创总部区域】 精装2室2厅  拎包入住 民用水电 2室2厅,4000-5500 元/月,无区域信息,85.00-90.00㎡,无朝向,2室2厅1卫,无楼层,https://sh.lianjia.com/apartment/52599.html,2025-11-17 19:48:22
3,整租·艾森公馆 2室2厅 南/北,2700 元/月,浦东-临港新城-艾森公馆,100.40㎡,南 北,2室2厅2卫,中楼层                        （11层）,https://sh.lianjia.com/zufang/SH2083573070429159424.html,2025-11-17 19:48:22
3,整租·嘉和美苑 3室2厅 南/北,4000 元/月,浦东-临港新城-嘉和美苑,114.53㎡,南 北,3室2厅1卫,高楼层                        （8层）,https://sh.lianjia.com/zufang/SH2044032663991353344.html,2025-11-17 19:48:22
3,整租·临港十七区 1室1厅 北,1500 元/月,浦东-临港新城-临港十七区,39.05㎡,北,1室1厅1卫,高楼层                        （15层）,https://sh.lianjia.com/zufang/SH1759035179197792256.html,2025-11-17 19:48:22
3,独栋·上海滴水湖斯贤公寓 南苑 【103核心区域】 【紧邻港城广场】【可办居住证】北苑特惠两房 服务式公寓 酒店配置 拎包入住 2室1厅,4000 元/月,无区域信息,85.00㎡,无朝向,2室1厅1卫,无楼层,https://sh.lianjia.com/apartment/66978.html,2025-11-17 19:48:22
